workbookRepoUrl,title,defaultViewName,viewCount,numberOfFavorites,authorDisplayName,authorProfileName,defaultViewRepoUrl,profileName,VOTD_flag
WOW2022_W50_InteractiveProportionalBrushing,WOW2022_W50_Interactive Proportional Brushing,1_1,20,0,YusukeNakanishi,yusukenakanishi,WOW2022_W50_InteractiveProportionalBrushing/sheets/1_1,yusukenakanishi,
MOM2022W50_Whichcountrygetsthemostpaidvacationdays,MOM2022W50_Which country gets the most paid vacation days,Dashboard1,53,0,YusukeNakanishi,yusukenakanishi,MOM2022W50_Whichcountrygetsthemostpaidvacationdays/sheets/Dashboard1,yusukenakanishi,
WOW2022_W42_CanyouuseTableautoestimateAaronJudgeshomeruntrajectories,WOW2022_W42_Can you use Tableau to estimate Aaron Judge’s home run trajectories?,Dashboard1,47,0,YusukeNakanishi,yusukenakanishi,WOW2022_W42_CanyouuseTableautoestimateAaronJudgeshomeruntrajectories/sheets/Dashboard1,yusukenakanishi,
WOW2022_W26_Letsmakeadynamicrelativefilter,WOW2022_W26_Let’s make a dynamic relative filter,Dashboard1,19,0,YusukeNakanishi,yusukenakanishi,WOW2022_W26_Letsmakeadynamicrelativefilter/sheets/Dashboard1,yusukenakanishi,
WOW2022_W45_AveragePatientWaittimes,WOW2022_W45_Average Patient Waittimes,Dashboard1,18,0,YusukeNakanishi,yusukenakanishi,WOW2022_W45_AveragePatientWaittimes/sheets/Dashboard1,yusukenakanishi,
WOW2022_W49_Canyoubuildapiechart,WOW2022_W49_Can you build a pie chart?,Dashboard1,24,0,YusukeNakanishi,yusukenakanishi,WOW2022_W49_Canyoubuildapiechart/sheets/Dashboard1,yusukenakanishi,
MOM2022W49_HowAmericansPerceiveDemographics,MOM2022W49_How Americans Perceive Demographics,Dashboard1,66,2,YusukeNakanishi,yusukenakanishi,MOM2022W49_HowAmericansPerceiveDemographics/sheets/Dashboard1,yusukenakanishi,
MOM2022W48_NumberofvictimsofschoolshootingsintheU_S_bysituation,MOM2022W48_Number of victims of school shootings in the U.S. by situation,Dashboard1,64,1,YusukeNakanishi,yusukenakanishi,MOM2022W48_NumberofvictimsofschoolshootingsintheU_S_bysituation/sheets/Dashboard1,yusukenakanishi,
MOM2022W47_RailroadInfrastructureQualityRankings,MOM2022W47_Railroad Infrastructure Quality Rankings,goal,56,1,YusukeNakanishi,yusukenakanishi,MOM2022W47_RailroadInfrastructureQualityRankings/sheets/goal,yusukenakanishi,
WOW2022_W47_CanyoudothisinONEdashboard,WOW2022_W48_Can you do this in ONE dashboard,goal,31,0,YusukeNakanishi,yusukenakanishi,WOW2022_W47_CanyoudothisinONEdashboard/sheets/goal,yusukenakanishi,
_16692586191550,三宮駅周辺の人流,Dashboard1,28,0,YusukeNakanishi,yusukenakanishi,_16692586191550/sheets/Dashboard1,yusukenakanishi,
WOW2022_W47_Canyoulabelandsortsmallmultiples,WOW2022_W47_Can you label and sort small multiples?,goal,16,0,YusukeNakanishi,yusukenakanishi,WOW2022_W47_Canyoulabelandsortsmallmultiples/sheets/goal,yusukenakanishi,
WOW2022_W46_Letsbuildamap,WOW2022_W46_Let’s build a map!,goal,26,0,YusukeNakanishi,yusukenakanishi,WOW2022_W46_Letsbuildamap/sheets/goal,yusukenakanishi,
MOM2022W46_CocaineHeroinPrices2020,MOM2022W46_Cocaine & Heroin Prices(2020),goal,82,1,YusukeNakanishi,yusukenakanishi,MOM2022W46_CocaineHeroinPrices2020/sheets/goal,yusukenakanishi,
Tableau_16685216854750,(第７回関西Tableauユーザー会)三宮人流のコロナ禍による変化,1,43,0,YusukeNakanishi,yusukenakanishi,Tableau_16685216854750/sheets/1,yusukenakanishi,
TheGlobalDivideonHomosexualityPersists_16679806467030,The Global Divide on Homosexuality Persists,Dashboard1,33,0,YusukeNakanishi,yusukenakanishi,TheGlobalDivideonHomosexualityPersists_16679806467030/sheets/Dashboard1,yusukenakanishi,
